GC=F,AAPL,MSFT,NVDA,META,GOOGL,AMZN,^GSPC,^DJI,^IXIC
4224.0,,,,,,,,,
4222.60009765625,,,,,,,,,
4222.0,,,,,,,,,
4221.7998046875,,,,,,,,,
4222.5,,,,,,,,,
4220.0,,,,,,,,,
4219.60009765625,,,,,,,,,
4220.7001953125,,,,,,,,,
4213.89990234375,,,,,,,,,
4218.2998046875,,,,,,,,,
4219.2998046875,,,,,,,,,
4218.5,,,,,,,,,
4218.0,,,,,,,,,
4219.0,,,,,,,,,
4220.2001953125,,,,,,,,,
4223.5,,,,,,,,,
4223.2001953125,,,,,,,,,
4225.89990234375,,,,,,,,,
4227.0,,,,,,,,,
4229.5,,,,,,,,,
4229.5,,,,,,,,,
4229.7001953125,,,,,,,,,
4230.7998046875,,,,,,,,,
4229.2001953125,,,,,,,,,
4230.89990234375,,,,,,,,,
4228.7998046875,,,,,,,,,
4228.0,,,,,,,,,
4231.2001953125,,,,,,,,,
4230.0,,,,,,,,,
4230.89990234375,,,,,,,,,
4230.2998046875,,,,,,,,,
4227.60009765625,,,,,,,,,
4227.10009765625,,,,,,,,,
4228.5,,,,,,,,,
4235.0,,,,,,,,,
4232.0,,,,,,,,,
4232.39990234375,,,,,,,,,
4229.0,,,,,,,,,
4228.89990234375,,,,,,,,,
4230.89990234375,,,,,,,,,
4229.10009765625,,,,,,,,,
4230.10009765625,,,,,,,,,
4228.39990234375,,,,,,,,,
4227.7998046875,,,,,,,,,
4228.2001953125,,,,,,,,,
4225.7001953125,,,,,,,,,
4227.2001953125,,,,,,,,,
4230.60009765625,,,,,,,,,
4227.60009765625,,,,,,,,,
4226.0,,,,,,,,,
4224.2001953125,,,,,,,,,
4219.89990234375,,,,,,,,,
4221.0,,,,,,,,,
4222.10009765625,,,,,,,,,
4221.7001953125,,,,,,,,,
4219.7001953125,,,,,,,,,
4219.89990234375,,,,,,,,,
4221.10009765625,,,,,,,,,
4219.5,,,,,,,,,
4216.7998046875,,,,,,,,,
4219.0,,,,,,,,,
4223.0,,,,,,,,,
4225.39990234375,,,,,,,,,
4220.7998046875,,,,,,,,,
4224.0,,,,,,,,,
4221.2998046875,,,,,,,,,
4222.2998046875,,,,,,,,,
4221.89990234375,,,,,,,,,
4227.89990234375,,,,,,,,,
4228.7001953125,,,,,,,,,
4235.7001953125,,,,,,,,,
4234.89990234375,,,,,,,,,
4232.60009765625,,,,,,,,,
4238.60009765625,,,,,,,,,
4238.60009765625,,,,,,,,,
4239.7001953125,,,,,,,,,
4232.0,,,,,,,,,
4229.2998046875,,,,,,,,,
4232.7001953125,,,,,,,,,
4234.2001953125,,,,,,,,,
4231.10009765625,,,,,,,,,
4223.39990234375,,,,,,,,,
4227.89990234375,,,,,,,,,
4232.5,,,,,,,,,
4235.0,,,,,,,,,
4235.0,,,,,,,,,
4236.2998046875,,,,,,,,,
4238.89990234375,,,,,,,,,
4237.2001953125,,,,,,,,,
4236.60009765625,,,,,,,,,
4236.10009765625,,,,,,,,,
4237.10009765625,,,,,,,,,
4237.60009765625,,,,,,,,,
4237.7001953125,,,,,,,,,
4244.39990234375,,,,,,,,,
4240.7998046875,,,,,,,,,
4247.7001953125,,,,,,,,,
4248.89990234375,,,,,,,,,
4246.60009765625,,,,,,,,,
4244.5,,,,,,,,,
4240.60009765625,,,,,,,,,
4241.10009765625,,,,,,,,,
4242.7001953125,,,,,,,,,
4244.60009765625,,,,,,,,,
4245.89990234375,,,,,,,,,
4243.7998046875,,,,,,,,,
